regcode;sepa;name;name_before_quotes;name_in_quotes;name_after_quotes;without_quotes;regtype;regtype_text;type;type_text;registered;terminated;closed;address;index;addressid;region;city;atvk;reregistration_term
40003588913;LV74ZZZ40003588913;"SIA ""PAPĪRS, RAKSTĀMLIETAS UN TEHNIKA""";SIA;PAPĪRS, RAKSTĀMLIETAS UN TEHNIKA;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2002-04-23;2017-05-17;L;Rīga, Dzelzavas iela 70;1082;101826888;0;100003003;0010000;
40103886447;LV46ZZZ40103886447;"SIA ""AppliKey""";SIA;AppliKey;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2015-04-02;2017-06-28;L;Rīga, Dzirnavu iela 92 - 3;1050;111194644;0;100003003;0010000;
44101027575;LV11ZZZ44101027575;"Limbažu rajona Umurgas pagasta zemnieku saimniecība ""MELKAS""";Limbažu rajona Umurgas pagasta zemnieku saimniecība;MELKAS;"";0;U;Uzņēmumu reģistra žurnāls;ZEM;Zemnieku saimniecība;1997-11-07;; ;Limbažu nov., Umurgas pag.;4004;100012543;100015975;0;0668000;
40008086755;LV12ZZZ40008086755;"Sabiedriska organizācija Atpūtnieku biedrība ""LANGA""";Sabiedriska organizācija Atpūtnieku biedrība;LANGA;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2004-12-02;2017-07-18;L;Rīga, Ernesta Birznieka-Upīša iela 26 - 25;1050;112729118;0;100003003;0010000;
42103048338;LV60ZZZ42103048338;"SIA ""EXTRA FUN ROOM""";SIA;EXTRA FUN ROOM;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2009-07-13;; ;Liepāja, Zāļu iela 16 - 3;3401;116515204;0;100003044;0170000;
40003377265;;"Sabiedrība ar ierobežotu atbildību ""ANNO 1998""";Sabiedrība ar ierobežotu atbildību;ANNO 1998;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;1998-01-30;2013-12-13;L;Rīga, Tomsona iela 30;1013;102008165;0;100003003;0010000;
44102028205;LV23ZZZ44102028205;"IK ""JANA M.""";IK;JANA M.;"";0;K;Komercreģistrs;IK;Individuālais komersants;2007-01-11;2015-02-12;L;"Valkas nov., Valkas pag., ""Seļi"" 22-13";4723;100014418;100016286;0;0948800;
49501012829;LV16ZZZ49501012829;"Cēsu rajona Mores pagasta zemnieku saimniecība ""PIĢELEJAS""";Cēsu rajona Mores pagasta zemnieku saimniecība;PIĢELEJAS;"";0;U;Uzņēmumu reģistra žurnāls;ZEM;Zemnieku saimniecība;1992-06-25;; ;"Siguldas nov., Mores pag., ""Piģelejas""";2170;103971800;100015380;0;0801666;
40003489956;"";"Sabiedrība ar ierobežotu atbildību ""VOLTA PRIMA""";Sabiedrība ar ierobežotu atbildību;VOLTA PRIMA;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2000-04-10;2011-04-19;L;Rīga, Laimdotas iela 20;1006;101923221;0;100003003;0010000;
40002047453;LV92ZZZ40002047453;"Tatjanas Stoļarovas Rīgas individuālais uzņēmums komercfirma ""STB""";Tatjanas Stoļarovas Rīgas individuālais uzņēmums komercfirma;STB;"";0;U;Uzņēmumu reģistra žurnāls;IND;Individuālais uzņēmums;1996-04-01;; ;Rīga, Ilūkstes iela 34 - 61;1082;112300085;0;100003003;0010000;
40003973729;LV03ZZZ40003973729;"Sabiedrība ar ierobežotu atbildību ""EVES Asset Management""";Sabiedrība ar ierobežotu atbildību;EVES Asset Management;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2007-11-29;2017-06-28;L;Rīga, Bauskas iela 58A - 8;1004;118176258;0;100003003;0010000;
44103081504;LV89ZZZ44103081504;"Sabiedrība ar ierobežotu atbildību ""SKYFALL""";Sabiedrība ar ierobežotu atbildību;SKYFALL;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2012-12-06;2016-09-06;L;Rīga, Brīvības gatve 221 - 1;1039;117734082;0;100003003;0010000;
40008066513;LV48ZZZ40008066513;Autoskolas sporta klubs;Autoskolas sporta klubs;"";"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2002-04-05;; ;Liepāja, Eduarda Tisē iela 46 - 7;3411;116031256;0;100003044;0170000;
42102031885;LV81ZZZ42102031885;"IK ""Aleksandra AL""";IK;Aleksandra AL;"";0;K;Komercreģistrs;IK;Individuālais komersants;2005-11-01;; ;Liepāja, Katedrāles iela 17 - 10;3414;111047813;0;100003044;0170000;
40103693288;LV37ZZZ40103693288;"Sabiedrība ar ierobežotu atbildību ""Profiplast""";Sabiedrība ar ierobežotu atbildību;Profiplast;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2013-07-23;2017-06-28;L;Rīga, Ūnijas iela 28 - 81;1084;113724305;0;100003003;0010000;
40008063220;LV10ZZZ40008063220;"SPORTA KLUBS ""SKIFS""";SPORTA KLUBS;SKIFS;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2001-11-06;; ;Rīga, Dainas iela 1 - 4;1001;111179334;0;100003003;0010000;
45403012356;"";"Sabiedrība ar ierobežotu atbildību ""Namards A""";Sabiedrība ar ierobežotu atbildību;Namards A;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2003-09-12;2008-10-13;L;Daugavpils, Čiekuru iela 5B;5413;105049381;0;100003011;0050000;
41502032478;"";"IK ""Oga-D Plus""";IK;Oga-D Plus;"";0;K;Komercreģistrs;IK;Individuālais komersants;2010-12-03;2012-01-20;L;Daugavpils, 18. novembra iela 24-3;5401;116722691;0;100003011;0050000;
41503004946;LV08ZZZ41503004946;"Sabiedrība ar ierobežotu atbildību ""DZELME D""";Sabiedrība ar ierobežotu atbildību;DZELME D;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;1992-07-03;; ;Daugavpils, Ventspils iela 60;5404;101810913;0;100003011;0050000;
40008066778;LV71ZZZ40008066778;"""REMIS""";"";REMIS;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2002-04-15;; ;Alūksnes nov., Alūksne, Tirgotāju iela 5 - 23;4301;115301346;100015694;100003108;0360100;
42103007734;LV74ZZZ42103007734;"Automobiļu garāžu īpašnieku kooperatīvā sabiedrība ""ZIRŅI""";Automobiļu garāžu īpašnieku kooperatīvā sabiedrība;ZIRŅI;"";0;U;Uzņēmumu reģistra žurnāls;KB;Kooperatīvā sabiedrība;1993-04-05;; ;Liepāja, Zirņu iela 3;3401;102629712;0;100003044;0170000;
40103582902;LV37ZZZ40103582902;"SIA ""RAMUSS KV""";SIA;RAMUSS KV;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2012-09-04;; ;Ventspils, Enkuru iela 6A;3601;102366101;0;100003060;0270000;
40002105997;LV19ZZZ40002105997;"IK ""Biss J.M.""";IK;Biss J.M.;"";0;K;Komercreģistrs;IK;Individuālais komersants;2004-09-02;; ;Jūrmala, Skolas iela 65 - 52;2016;116416578;0;100003036;0130000;
40003934793;LV86ZZZ40003934793;"SIA ""POSITIVE INTERIORS""";SIA;POSITIVE INTERIORS;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2007-06-28;2015-12-03;L;Rīga, Vīlandes iela 12-10;1010;113169685;0;100003003;0010000;
40003889184;LV17ZZZ40003889184;"SIA ""Proson""";SIA;Proson;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2007-01-15;2015-12-03;L;Rīga, Vīlandes iela 12-10;1010;113169685;0;100003003;0010000;
40003781724;;"SIA ""Bauplan Kapital""";SIA;Bauplan Kapital;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2005-11-10;2010-08-04;L;Rīga, Mūkusalas iela 101;1004;105547486;0;100003003;0010000;
45403011149;"";"Pilnsabiedrība ""RNS-D un Jēkabpils PMK""";Pilnsabiedrība;RNS-D un Jēkabpils PMK;"";0;K;Komercreģistrs;PS;Pilnsabiedrība;2002-09-30;2008-05-14;L;Jēkabpils, Madonas iela 27;5202;101517166;0;100003237;0560100;
44103048181;LV38ZZZ44103048181;"Sabiedrība ar ierobežotu atbildību ""MP PUMPURI""";Sabiedrība ar ierobežotu atbildību;MP PUMPURI;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2007-10-24;2022-10-04;L;"Cēsu nov., Nītaures pag., ""Pumpuri""";4112;100010804;100016487;0;0426800;
44103061974;LV10ZZZ44103061974;"Sabiedrība ar ierobežotu atbildību ""P19""";Sabiedrība ar ierobežotu atbildību;P19;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2010-10-14;; ;Cēsu nov., Cēsis, Noras iela 33;4101;101585534;100015774;100003157;0420201;
41503005693;LV15ZZZ41503005693;"Sabiedrība ar ierobežotu atbildību ""MAGNAS""";Sabiedrība ar ierobežotu atbildību;MAGNAS;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;1992-10-19;; ;Daugavpils, Piekrastes iela 47A;5422;104987850;0;100003011;0050000;
40203238522;LV18ZZZ40203238522;FUTHARK MEDIA SIA;"";FUTHARK MEDIA;SIA;1;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2020-01-27;2022-10-10;L;Rīga, Brīvības iela 133 - 25;1012;111854098;0;100003003;0010000;
50008083341;LV75ZZZ50008083341;"Dzīvokļu īpašnieku biedrība ""STABU 77""";Dzīvokļu īpašnieku biedrība;STABU 77;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2004-07-12;; ;Rīga, Stabu iela 77;1009;101123165;0;100003003;0010000;
